אופקים,אופקים,ת.ד 265
עדנה,קריית טבעון,קקל 76
בית רחל,קריית טבעון,השושנים 23
גני אבות,קריית טבעון,העמק 24
כרמלה,קריית טבעון,הדגניות 8
נוף טבעון,קריית טבעון,אורנים 58
בית חם בכפר,קרית ביאליק,כלניות 9
בית פנינה,קרית חיים,התקומה 6
אביגדור עשת,קרית חיים,ת.ד. 48
אחי אילת-חלת הדבש,קרית חיים,אחי אילת 4
נווה הראשונים,קרית חיים,הראשונים 37
הבולגרי,ראשון לציון,ת.ד 237
נווה חוף,ראשון לציון,ארגמן 2
בית נועם,רגבה,ד.נ. אושרת
גן דוד,רחובות,הפלמח 4
נווה עמית,רחובות,ת.ד 1067
נאות מרגוע,רמלה,רחל 7
בית הקשת,רמת גן,מנחם יצחק 5
משען,רמת גן,היסמין 1 רמת אפעל
עירוני,רמת גן,שדרות הילד 10
אניטה מילר,רמת גן,רזיאל 28
בית הורים רמת חן,רמת גן,אלוף דוד 185
גלעד תל השומר,רמת גן,מרכז רפואי תל השומר
בית בלב,רמת השרון,יהודה הנשיא 52
צימרמן,רעננה,הרצל
בורוכוב,רעננה,בורוכוב 43
בית המייסדים,שבי ציון,מושב שבי ציון
בית הורים ויצו,תל אביב,דוד המלך 40
בית אורלי,תל אביב,דלה רינה 22
גלי האופרה,תל אביב,אידלסון 1
אלנבי,תל אביב,אלנבי 91
צהלון,תל אביב,ירושלים 100
נאות אבי,תל אביב,ציונה תג'ר 5
אחוזת ותיקי ת'א,תל אביב,סמטת בית השואבה 8
